Titulos,Conteudo
INTERNET OI FIBRA LENTA COM PAGAMENTO EM DIA,"Realmente é impossível conseguir falar com os atendentes da oi, não posso me deslocar até uma agência da oi para falar sobre, ligo"
Internet lenta e sem atendimento do suporte,"Prezados, bom dia!!!Há meses tento entrar em contato com a Oi fibra pelo 0800 e não consigo falar com atendente sobre "
Internet sem qualidade,"Estou utilizando Oi Fibra desde fev/2023 e infelizmente não tenho boas referências. O sinal da internet é instável demais, já obti"
Pratica ilegal de Traffic Shapping,"Pratica ilegal de Traffic Shapping da Oi FibraEstou com dificuldades em acessar servços OnDemand (Filmes, aplicativos de streaming"
Internet não funciona mas a cobrança vem completa,Ao contratarmos uma internet esperamos que funcione e não de interferência nesta semana estão fazendo manutençao na rede mas não v
INTERNET OI FIBRA 400GB MUITO LENTA E SEM INSTABILIDADE,INTERNET OI FIBRA 400GB MUITO LENTA E SEM INSTABILIDADE
Novamente sem internet ( Oi ),"Boa tardeontem  dia 29/10/2023 novamente por volta das nove horas da manha minha internet caiu, pois bem mais uma vez, ligue"
Internet não funciona,Estou sem internet na minha empresa que pra funcionar precisa de internet e desde ontem não está funcionando. Já tentei ligar pra 
Problemas de oscilação de rede wi-fi a mais de 5 dias e ninguém resolve,"Já liguei mais de 4 vezes para Oi, estou sofrendo com problema no roteador onde a rede fica indisponível frequentemente durante o "
Sem internet ninguém consegue ligar pra central,"Estou a 2 dias sem internet, e não consigo contato com a oi toda vêz que eu ligo mostra as opções na tele e eu coloco pra continua"
Desrespeito,Tenho 3 câmeras para monitoramento de idosos na casa e as câmeras não estão funcionando devido à falta de wifi na residência. Entr
Wifi Residencial,"Bom diaQuando contratei a oi pedi o vencimento para o dia 2,por causa de pagamento..depois o atendente veio me dizer que é d"
mudança de endereço,me mudei e estou a mais de 10 dias tentando marca uma visita técnica pra fazer a instalação em meu novo endereço e eles sempre me 
estou sem internet,estou sem internet 29/10/23
Nem uma semana de instalação!,"Boa tarde!Gostaria da ajuda de vocês quanto a Oi, que não tem uma semana que contratei uma internet deles que NÃO FUNCIONA!"
Sem internet não coloquem gente propaganda enganosa,Em pleno domingo sem internet desde as 11:00 brincadeira né ? Pedindo o cancelamento agoraa . Toda vez isso é fala q vai vir um té
Serviço péssimo,Anteriormente eu usava uma operadora mas me ligaram da oi e fizeram uma proposta boa. Resolvi aderi o servidor internet fibra para
Internet fora do ar,A internet está lenta e vive caindo
Pago Internet E NÃO FUNCIONA BEM,"O serviço não está funcionando corretamente, o Internet fica caindo o dia inteiro e não tem niguem que resolva, o atendimento pelo"
Ping Alto,"Tenho o plano Oi Fibra 1GB faz quase 1 ano. Comecei a ter problemas em relação a jogos ONLINE, onde o ping em jogos como: Counter-"
MUDANÇA DE ENDEREÇO INDEVIDA,"*******3 - Para a minha surpresa, após 8 longos dias de dores de cabeça com a operadora, agora estou há dois dias com o sinal extr"
Fui destratado,"Olá, adquiri o plano da Oi Fibra recentemente. Fiz a adesão de um plano de 400 Mb, no qual eu pagaria 119,00 reais por mes.M"
Velocidade diferente do que foi contratado.,"Desde que foi instalado aqui em casa, todo o serviço é muito ruím, Técnico Virtual não resolve nada, quando ligamos o suporte tamb"
Péssima qualidade da Internet,Só cliente oi fibra a 1 Ano. Comecei com o plano de 200MB. Aí mais ou menos uns 6 meses me ofereceram o plano de 400MB pelo mesmo 
O PIOR ATENDIMENTO,"Definitivamente, a conduta abusiva de tal operadora é passível de processo. Primeiramente, vamos falar da total impossibilid"
DEMORA PARA RESOLVER PROBLEMAS TÉCNICOS.,"Uma demora absurda pra fazer um serviço de manutenção na minha rede Wi-Fi, fiquei sem Internet no 27/10  então liguei pra manutenç"
Novamente problemas de baixa velocidade,"O problema voltou a repetir e o aplicativo, novamente, não resolveu."
ENDEREÇO ERRADO NA FATURA,"A ANOS VENHO PEDINDO PARA CORRIGIR meu endereço residencial na fatura esta tudo errado e estou sendo prejudicado por isso , atende"
INTERNET É UMA PORCARIA,A internet que pagamos de 200mega não roda um filme na TV de tão precária que é. A Oi não faz nada para arrumar. Vamos mudar de op
Problemas com intermitência da internet oi fibra,Fiz a adesão para Oi Fibra sendo que o tecnico já veio na minha casa umas 3 vezes para poderem corrigir os problemas existentes. 
Contratação de internet 1 Giga,"Resolvi mudar minha internet que eram de 500Mb para 1GB por uma promoção da Oi fibra no dia 20/10/2023, o prazo para que a nova in"
Internet oscilando,Foi feito uma compra de Oi fibra para minha residência de 500 megas e a mesma foi instalada em ponto da residência o aparelho ( mo
Internet Péssima,"Pessoal, desde que eu contratei o serviço de internet da OI eu estou completamente decepcionado, a internet sempre foi muito ruim."
CONTINUAM ENROLANDO O CLIENTE,"Desde terça dia 10/10, estamos sem internet, foram diversos chamados com a mesma resposta, o tecnico irá amanhã, no prazo de 24 hs"
"Plano de 500mega, na prática muito menos","A oi já me ofereceu duas renovações do contrato de 12 meses de fidelidade, aumentando de 200 megas (original) para 400 megas e, no"
Péssima internet Oi Fibra,"Por falta de opção e apesar de já conhecer o péssimo serviço oferecido pela OI, resolvi contratar o Oi Fibra, durante um tempo fun"
Esquecido pela operadora,Desde o dia 18/10 estou sem internet e estou fazendo solicitações para reparo. Algumas vezes o técnico não vai (mas informa ao sis
Visita técnica,"Contratei o serviço de 400 mega de internet para minha residência e a mesma não chega a 200 mega, já entrei em contato com o supor"
Não consigo cadastrar o meu CNPJ no apps,"E o seguinte não consigo entrar no meu cadastro da oi fibra, oi empresa, técnico oi, nada, não consigo fazer o cadastro nem pelo c"
Internet lenta,"Estou sendo prejudicado por esta empresa oi fibra, contratei 400mb de internet e não estou recebendo nem 10% da velocidade contrat"
Impossível receber atendimento técnico !!,"Durante todo o dia d ehoje (25/10/23) eu tive problemas com conexão lenta do meu plano de Oi Fibra, que é de 300Mb. Durante todo o"
10% da banda disponível,De mais ou menos 10 dias para cá (25/10) minha internet banda larga da Oi simplesmente estava em cerca de 10% da potência contrata
Sem sinal de Internet há 2 dias,"Instalei a Internet funcionou por 1 dia, no dia seguinte parou de funcionar e até agora sigo sem sinal. Agendei visita técnica e n"
Não entragam velocidade contratada,Estou a duas semanas reclamando sobre a velocidade da internet. Em todas as ligações fazem as verificações e dizem que o setor de 
SEM INTERNET A 36 HORAS,"Desde domingo (22/10) estou completamente sem internet na minha residência, tendo entrar em contato via ligação e não consigo fala"
Internet muito lenta desde a Mudança de 400 p/500mb,"Recebi uma ligação do setor de oferta da oi a uns 15 a 20 dias atrás e me ofereceram aumentar para  500mb, com a condição de ser r"
Péssima prestação de serviço.,"Estou a meses com a Internet da OI FIBRA. Sempre tive problemas com oscilação de sinal, Internet vira e volta cai. Tentei re"
Oi fibra não dá para confiar,"Contratei um plano de Internet com telefone fixo, mas só funcionou por uma semana. Após várias reclamações e pedidos de reparos, t"
INTERNET SEM FUNCIONAR,Quando você contrata a Oi Fibra parece que o serviço deles é  eficiente e de confiança. Baixei o aplicativo e fiz a primeira recla
PAGO 1GB  RECEBO 350MB,"A oi fibra fica caindo quase toda semana e quando volta possui uma conectividade horrível, só essa semana ja caiu cerca de 3 vezes"
Oi fibra não funciona,Tinha um plano de 500gb recebia sempre isso através dos testes que fazia pela internet. Aí recebo uma proposta para mudar o plano 
Que internet complicada viu!,"Problema com a Oi fibra desde a instalação. Baixa velocidade, vídeos pausados. Técnico, já esteve aqui e continua tudo igual. Não "
Estou sem Internet,"Toda vez que tenho problema com minha internet eu mesma tento resolver, porque não tenho paciência para ficar naquele atendimento "
Ligações indesejados,Estou a três dias sem Internet Já fiz diversas reclamações e a resposta que tenho sempre é que os técnicos já estão tratando
Internet,Estou sendo prejudicada no trabalho com tantas ligações oferecendo oi fibras. Mesmo falando que não tenho interesse recebo em médi
Oi fibra só entrega de 25% da velocidade contratada e só recebo 40% dos 25%,"Já não sei quantas vezes já tentei ligar e fiz os mesmos procedimentos que me pedem pra voltar , eu trabalho em home office e hoje"
Falta de reparo,Desde o dia em que foi instalada a Oi fibra em minha residência nunca recebi a velocidade contratada. Pelo contrato eu deveria rec
Ligações excessivas sem ter contrato OI FIBRA,Estou na casa da minha sogra de férias e estamos desde o dia 18/10 sem um atendimento técnico para verificar os fiso que foram arr
COBRANÇA INDEVIDA - NÃO ASSINO OI FIBRA,"recebo cerca de 20 ligações por dia , manhã tarde noite , eu não tenho interesse em Oi FIBRA para o meu CNPJ, já informei que é pa"
Sem internet por 4 dias e os técnicos marcam e não aparecem,"Anteriormente recebi contato da Oi Fibra, pelo WhatsApp (telefone*******), informando sobre uma suposta contratação de linha. Como"
Cobrança indevida,Contratei a Oi Fibra a pouco mais de 1 mês e estou a 4 dias sem internet. No mesmo dia que fiquei sem liguei e agendei a visita té
Fiz um pedido de transferencia de endereço abriram um novo contrato,"Ao acessar o site do Serasa vi que consta um débito de R$ 31,31 e R$ 19,55, com vencimentos 17/05/2022 e 02/06/2022, referente ao "
Sem sinal de telefone e internet da OI,no dia 14 de abril fiz uma solicitacao de troca de endereço n do protocolo*******46 recebi o email de confirmaçao de troca de tilu
Sem internet a mais de 24h,"Estamos à mais de 3 semana sem telefone (só ruídos) já entramos em contato, o prazo para a normalização sempre é prorrogado, sempr"
Ligações indesejadas,Trabalho remoto e necessito do link funcionando e desde ontem uma sequencia de absurdos da oi acontece:Oi! Aqui é a Jo
Pagamento não reconhecido (de novo),"Ola, estou recebendo muitas ligações indesejadas feitas por robôs, falando de planos da OI. Não lembro onde eu autorizei meus dado"
Plano e velocidade enganosos.,"Paguei a fatura de outubro e descubro hoje que não foi debitada e cortaram minha internet, não fui avisado em nenhum momento, não "
Internet que não funciona,"Atualmente a oi vem refazendo os contratos com o argumento de mudança para oi fibra, o que possibilita à empresa um novo contrato,"
3 dias sem internt na regiao bairro santa branca bh,"Faz aproximadamente 4 meses que estou com a Oi Fibra, no início funcionava muito bem. Quando completou 1 mês de uso comecei a ter "
Nao consigo Pagar fatura! Bloquueio,"A região do bairro Santa Branca está há 3 dias sem a internet Oi fibra, desde o dia 19/10/23 de madrugada, ligo direto para a Oi p"
Internet com péssima velocidade,"Possuo o serviço de Internet Fibra que é descontado pelo cartão de crédito, porém tive um problema com o cartão e a fatura não foi"
"upgrade de plano, upgrade de problema","Constantemente estamos tendo problema com a internet que sempre está lenta, e sempre somos mau atendidos.Dificultam e tratam"
Não consigo cancelar meu plano,"possuía uma internet de 500mb da oi, porem usava com o wifi e dava conta da largura de banda pelo wifi5, foi ofertado um plano de "
"OI não atende visita técnica agendada , sem serviços de Internet e Telefone há 1 semana","Estou tentando cancelar meu plano oi fibra Fiz o pedido pelo*******, mas ao final do atendimento pede que eu faça a juntada "
"Só tinha como instalar pelo cartão de crédito, antes mesmo da instalação ja cobraram","A visita técnica agendada para 18/10 e não realizada, sem serviços de Internet e Telefone há mais de uma semana.Entrei em co"
Fiação caindo,"Só tinha como instalar pelo cartão de crédito, antes mesmo da instalação ja cobraram sabe qual é o pior nem agendamento de m"
nao querem contestar valor total da fatura,Fiação da OI caindo em frente ao número 14841 na AV Das AMÉRICAS - RECREIO DOS BANDEIRANTES-loja Bajaj. Foi tentando abrir solicit
Não consigo falar com atendente,fiquei mes todo passado e esse de agora com problemas de sinal.   quedas constantes 4 fim de semanas sem internet total. problemas
Sem internet há mais de 50 horas.,Preciso trocar o meu modem da oi fibra de lugar. O atendimento não direciona para um atendente. A IA da Joice não reso
SEM INTERNET A 3 DIAS,"A internet parou de funcionar na sexta-feira ao meio-dia, entrei em contato com a Operadora Oi diversas vezes e a resposta que ten"
