8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instalação;ainda;no;endereço;errado;e;não;consigo;realizar;a;troca;de;plano;;;;;;;;;;;;;;;;;;
inserção;indevida;do;meu;nome;no;SPCSERASA;;;;;;;;;;;;;;;;;;;;;;;;
Ligações;incessantes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tim;cobrança;indevida;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cobrança;endivida;após;cancelamento;e;pagamento;antecipado.;;;;;;;;;;;;;;;;;;;;;;;;
Não;cumprem;o;prometido;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cobrança;indevida;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cobrança;Indevida-;Serviço;não;contratado;;;;;;;;;;;;;;;;;;;;;;;;;;
Saco;cheio;de;receber;ligações;da;Tim;que;começam;9h;e;diversas;vezes;ao;dia;;;;;;;;;;;;;;;;
Ligações;promocionais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tim;telemarketing;que;não;respeita;o;consumidor;;;;;;;;;;;;;;;;;;;;;;;;
Instalação;Tim;Fibra;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código;para;débito;automático;;;;;;;;;;;;;;;;;;;;;;;;;;;
Suspenderam;o;serviço;via;linha;férrea;antes;de;instalar;a;fibra;e;fiquei;sem;internet;;;;;;;;;;;;;;;;
Nova;cobrança;-;fatura;-;após;cancelamento;;;;;;;;;;;;;;;;;;;;;;;;
Débito;automático;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alteração;de;plano;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Multa;de;cancelamento;sem;ter;sido;informado;que;possuía;fidelidade.;;;;;;;;;;;;;;;;;;;;;
Não;funciona,;pura;inganacao;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tim;me;ligou;falando;que;estava;migrando;a;rede;da;OI;em;Brasília;;;;;;;;;;;;;;;;;;
Vieram;instalar;Tim;Ultrafibra;que;não;solicitei;;;;;;;;;;;;;;;;;;;;;;;;
TIM;Ultra;Fibra:;Péssimo;atendimento!;;;;;;;;;;;;;;;;;;;;;;;;;;
VERGONHA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Atendente;grossa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Falta;de;ética;moral;com;o;consumidor;;;;;;;;;;;;;;;;;;;;;;;;
Cobrança;Taxa;de;habilitação;-;Cancelamento;por;falta;de;prestação;de;Serviço;;;;;;;;;;;;;;;;;;;
Estou;sem;Internet;a;vários;dias;sem;resolução;;;;;;;;;;;;;;;;;;;;;;;
Cancelamento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Plano;cancelado;e;ainda;estão;cobrando;;;;;;;;;;;;;;;;;;;;;;;;;
Estou;sem;Internet;uma;semana;;;;;;;;;;;;;;;;;;;;;;;;;;
Sem;internet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pedi;a;portabilidade;do;meu;número;na;Tim;para;a;vivo;;;;;;;;;;;;;;;;;;;;
Lentidão;da;conexão;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Problema;não;resolvido;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quase;10;dias;sem;Internet;-;visita;técnica;sem;realização;do;reparo;;;;;;;;;;;;;;;;;;;
4;DIAS;SEM;INTERNET;E;TECNICO;DE;CAMPO;FICA;REMARCANDO;E;NÃO;VEM;;;;;;;;;;;;;;;;;;
Cancelamento;TIM;Live;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Permanência;nas;ligações;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mal;Atendimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tim;me;deixou;3;dias;sem;internet;e;agora;cobra;o;valor;cheio;;;;;;;;;;;;;;;;;;
Dois;dias;sem;internet.;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sem;Internet,;conta;mais;cara;e;técnico;não;compareceu;;;;;;;;;;;;;;;;;;;;;;
Disseram;que;não;iriam;cobrar;nada;após;csncelamento;e;acabaram;cobrando.;;;;;;;;;;;;;;;;;;;;
Internet;funcionando;abaixo;da;velocidade;ofertada;e;apresentando;quedas;constantes;;;;;;;;;;;;;;;;;;;;;
Dificuldade;em;cancelar;o;Plano;;;;;;;;;;;;;;;;;;;;;;;;;;
Valor;da;fatura;mais;alto;que;o;informado;no;momento;da;contratação;;;;;;;;;;;;;;;;;;;
Telemarketing;abusivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SEM;INTERNET;OUTRA;VEZ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cobrança;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LIGAÇÕES;CALL;CENTER;SEM;AUTORIZAÇÃO;;;;;;;;;;;;;;;;;;;;;;;;;;
Não;alteram;plano;que;já;foi;solicitado;;;;;;;;;;;;;;;;;;;;;;;;
LIVE;TIM;bloqueiou;o;acesso;ao;site;da;empresa;onde;trabalho.;;;;;;;;;;;;;;;;;;;;
Serviço;não;instalado;na;residencia;;;;;;;;;;;;;;;;;;;;;;;;;;
Falta;de;internet,;cobrança;indevida;e;impossibilidade;de;cancelamento;do;serviço;;;;;;;;;;;;;;;;;;;;
Instalação;dos;serviços;não;concluída,;sem;resolução;assertiva;;;;;;;;;;;;;;;;;;;;;;;
Instalação;não;solicitada;;;;;;;;;;;;;;;;;;;;;;;;;;;;
contratei;um;plano;por;99;reais;e;estão;me;cobrando;134;;;;;;;;;;;;;;;;;;;;
Sem;internet;em;modo;bridge;;;;;;;;;;;;;;;;;;;;;;;;;;
