Titulos,Conteudo;
Instalação ainda no endereço errado e não consigo realizar a troca de plano,Estou tentando realizar a troca do plano que no site consta que tem cobertura para 1gb o atendente do telefone fala que não tem co;
"inserção indevida do meu nome no SPCSERASA,""Ontem ao consultar meu nome vi que, pra minha surpresa há uma dívida  com a empresa TIM, declaro que em toda a minha vida, nunca p""";
"Ligações incessantes,""Há aproximadamente um ano, está insuportável ser cliente da TIM. Todos os dias, recebo pelo menos duas ligações me oferecendo muda""";
"Tim cobrança indevida,""Contratei a Tim devido o roubo do celular de meu marido, como a noite os vendedores da linha estavam passando e foram muito presta""";
Cobrança endivida após cancelamento e pagamento antecipado.,A equipe da Tim em Piraquara Pr passando de casa em casa passaram em casa eu disse que já tinha e tinha renovado a pouco c a (Oi) ;
Não cumprem o prometido,Liguei nesta empresa no mês 8 pra cancelar o serviço devido a conta ter aumentado muito e ter no mercado valores mais acessíveis. ;
"Cobrança indevida,""Boa tarde, tive alguns transtornos no mês passado, fiz a reclama aqui mesmo, a atendente entrou em contato comigo para saber como """;
"Cobrança Indevida- Serviço não contratado,""Prezados, venho através desta representando minha cliente Ana Paula da Silva Machado, inscrita no CPF ******* informar que a mesma""";
Saco cheio de receber ligações da Tim que começam 9h e diversas vezes ao dia,Muito incômodo receber ligações de diversos números oferecendo produtos da tim;
"Ligações promocionais,""Hoje pela manhã, recebi perto de 50 ligações de um número com prefixo 4052. Quando atendia ele desligava. Inadmissível essa postur""";
Tim telemarketing que não respeita o consumidor,Tim Brasília disparou o robô mais de 30 vezes em um só dia para me atormentar e mePrejudicar . Ligações no meu número a qual;
"Instalação Tim Fibra,""Já fui cliente a um tempo atrás, mais dessa vez deixaram muito a desejar. Os contatei no dia 19/10 pela manhã para uma adesã""";
Código para débito automático,Recebi 3 códigos diferentes pata débito automático e tentei ligar para confirmar qual o correto e ninguém informou... solicito que;
Suspenderam o serviço via linha férrea antes de instalar a fibra e fiquei sem internet,A Tim simplesmente suspendeu o meu serviço de internet atual via linha metálica com o pretexto de que trocariam por fibra óptica s;
"Nova cobrança - fatura - após cancelamento,""Após a resolução do problema inicial, chegou uma cobrança (fatura) no meu e-mail. Tentei contato por outros meios para entender a """;
"Débito automático,""No ano passado, contratei o plano de 300mb por R$98,50, com duração até o mes de outubro, porem nos últimos dois meses (setembro e""";
Alteração de plano,Não consigo por débito automático para abaixar o valor da fatura que aumentou e não consigo atendimento;
Multa de cancelamento sem ter sido informado que possuía fidelidade.,Sou cliente da TIM FIBRA. Tento entrar em contato com o atendente para alterar o meu plano e não consigo.O telefone 10;
"Não funciona, pura inganacao,""Ao contratar os serviços, não estava escrito no anuncio que possuía fidelidade, apenas desconto para débito automático. Solicitei """;
"Tim me ligou falando que estava migrando a rede da OI em Brasília,""Estou com. Um problema recorrente com a Tim ultra fibra.No mês 09/2023, após me prometeram que o serviço de Internet seria r""";
Vieram instalar Tim Ultrafibra que não solicitei,A TIM me ligou dizendo que estava migrando os clientes da OI para a rede da TIM e perguntaram se eu estava disposto a migrar; Diss
TIM Ultra Fibra: Péssimo atendimento!,Recebi um email dia 27/10/2023 dizendo que receberam meu pedido*******41 de Tim Ultrafibra e que estava em análise. Não solicitei ;
"VERGONHA,""Solicitei migração de meu plano já que o atual não mais me atende, velocidade cada dia pior, me pediram 10 dias para ativação. Me """;
"Atendente grossa,""Estou desde 26/10/2023 sem internet, fiz a solicitação de reparo e foi agendado para sábado, e fiquei esperado o dia inteiro e o t""";
"Falta de ética moral com o consumidor,""Esqueci de pagar a fatura ( como sempre ) mas sempre paguei apesar dos atrasos, sou cliente a o quê? Uma década? Desde de que a Ti""";
"Cobrança Taxa de habilitação   - Cancelamento por falta de prestação de Serviço,""A prestadora de serviço se ausenta de passar ao seus clientes que quando há falta do serviço de banda Larga por manutenção, isto s""";
Estou sem Internet a vários dias sem resolução,Desde da data do dia 18/09 onde eu solicitei cancelamento por falta de prestação do serviço.   Estava em tratativas para não pagam;
"Cancelamento,""No dia 26/10/2023, minha internet apresentou problemas técnicos. Fui informado pelo protocolo*******96, que o prazo de atendimento""";
"Plano cancelado e ainda estão cobrando,""Eu instalei a Tim, mas não gostei e por direito tenho 7 dias para cancelar sem [Editado pelo Reclame Aqui]to, mas toda vez que ten""";
Estou sem Internet uma semana,Boa noite! Veio por meio dessa solicitar novamente o cancelamentos das faturas em aberto. Já foi feito o cancelamento pela atenden;
"Sem internet,""Tentei várias vezes a visita de um técnico , me confirmam o agendamento  porém não vem, outra situação fazem de tudo para não cons""";
"Pedi a portabilidade do meu número na Tim para a vivo,""Dia 28/10/23 fiquei parte do dia sem internet, liguei para tim e me agendarão um reparo no período da tarde, internet restabelecid""";
Lentidão da conexão,Eu pedi a portabilidade da Tim para a Vivo .porém a Tim fica segurando e não libera ..Preciso que a Tim libere meu número;
Problema não resolvido,Contratei o serviço de 500MB há 3 meses. O serviço aumentou de preço e caiu a qualidade. Vergonha!;
Quase 10 dias sem Internet - visita técnica sem realização do reparo,Sem internet desde sábado falaram que iria resolver até data de hoje já liguei falam mesma coisa preciso de internet trabalho em c;
4 DIAS SEM INTERNET E TECNICO DE CAMPO FICA REMARCANDO E NÃO VEM,Estamos a quase 10 dias sem Internet. A primeira visita técnica disse que havia um rompimento no cabo externo; a segunda que estav
"Cancelamento TIM Live,""BOA NOITE , ESTOU 4 DIAS UTEIS SEM INTERNET E CONEXÃO NA MINHA RISEDENCIA FOI ABERTO DIVERSOS CHAMADO PARA REPARO , FOI MARCADO A """;
"Permanência nas ligações,""Estou a dias tentando cancelar o plano TIM Live Internet 50GB Plus.Quando ligo no número de atendimento, sou atendido pela a""";
"Mal  Atendimento,""Esse número*******4  ligou e não fala nada .  Já tinha reclamado aqui no """"Reclame Aqui """" e vcs aindam  persistem nesse i""";
"Tim me deixou 3 dias sem internet e agora cobra o valor cheio,""Sou  cliente  da Tim, estou tentando cancelar o serviço de Internet  fixa, ligo para o 10341, além  de ficar 35 minutos  esperando""";
Dois dias sem internet.,Em dois meses essa já é a minha terceira reclamação da Tim. A Tim me deixou sem internet e sem nenhuma explicação plausível do dia;
