Titulos,Conteudo
"Na ""vivo"" Mudaram o plano sem nos avisar","Na ""vivo"" temos aqui na Rua Massaranduba, Vila Monte alegre - São Paulo/SP. há mais de 10 anos um Plano de Internete+TV "
SEM INTERNET A MAS DE 9 DIAS,"Desde quarta da semana passada dia 25/10 estou sem Net, logo para operadora e falam que estão uma equipe vendo a resolução que eu "
Sem serviço de internet.,"Prezados responsáveis,Gostaríamos de expressar nossa insatisfação em relação aos serviços da Vivo. Estamos enfrentando"
Erro de comunicação sobre sinal no prédio,Mudamos para um prédio novo em São Paulo. Chamei o técnico de vivo duas semanas atrás e ele nos passou que o prédio estava sem sin
Internet Não funciona,Estou profundamente insatisfeito com a Vivo Internet devido à recorrência de um problema que afeta a qualidade dos serviços presta
Sem internet (novamente),Desde ontem dia 3 de novembro estou sem internet. Tenho Vivo fibra. Liguei na vivo e informaram problema não identificado na regiã
Chave pix gerada no aplicativo vivo em nome de outra empresa,"Gerei uma chave pix no dia 25.10 pra Pagar Minha fatura no aplicativo da vivo, mesmo valor da Minha fatura, porem hj ao notar q me"
Cobrança [Editado pelo Reclame Aqui] no Serasa em meu nome,"Olá,Consta uma cobrança [Editado pelo Reclame Aqui] em meu nome, data de 08/09/2022 no valor de R$ 140,54, com proposta de a"
Sem conexão de Internet fixa há pelo menos 5 dias,"Estamos sem conexão de Internet fixa há pelos uns 5 dias, o primeiro chamado*******172) abri via telefone no dia 1/11, com a prome"
Quero reclamar sobre a Vivo sobre 2 emaranhados de fios que estão em 2 postes.,E por quê é a Vivo?Eu olhei pra cima e vi na rede aérea o quadrado amarelo escrito VIVO em letras pretas.Peço a ela que corte este
Sem conecsao toda sexta.,"Infelizmente tenho que usar deste canal pra tentar resolver um problema de folga recorrente com minha internet vivo,residencial."
Internet vivi,"Tenho um pacote vivo e o serviço de Internet é péssimo. Frequentemente tem falhas e com muita frequência fica ""sem internet&q"
[Editado pelo Reclame Aqui] VIVO,"Detectei hoje, que alheio à minha solicitacao, tive meu plano de internet VIVO alterado.Alem de alterar meu plano, a data de"
Sem internet desde 14/10/23,"Mais de 15 dias sem internet, com vários protocolos abertos, todo dia uma previsão diferente, técnicos marcam e não vão. Cliente h"
Não instalaram internet estão cobrando,Não instalaram internet estão cobrando
Boleto emitido de serviço cancelado,Em julho houve a mudança da internet para fibra e me informaram que haveria o cancelamento da antiga rede porem nao informaram que
Descaso cilom cliente,"Após contato com a operadora para verificar melhor plano disponível para minhas necessidades, contato watssap, me largaram meia ho"
Mudança de plano,"Liguei na central, oferecerem pra manter um plano um desconto sem perder os meus benefícios do serviço. O vendedor ao invés de dar"
Absurdo a falta de atenção com cliente,já abrir diversos protocolos . Estou sem telefone e internet desde de Domingo dia 20/10 .OBS: PRECISO DA INTERNET PARA ACOMP
Sem internet e a central telefônica não atende,"Estou sem internet no meu apto em Porto Alegre e não consigo entrar em contato com a Vivo, o sistema de menu eletrônico fica mudo"
Internet vivi caindo,"É a segunda vez em menos de 10 dias que a internet daqui de casa cai, e hj é sexta feira, meu irmão ligou e vocês falaram que só p"
Instalação e adesão pendentes,"Solicitei a adesão do pacote de internet fibra + pós celular, porém recebi confirmação somente da internet fibra, (isso já tem uma"
Estão enrolando para instalar minha internet,"Fiz uma compra de um aparelho celular e um plano pós pago e internet pra minha residência, marcaram sábado pq é o único dia que co"
Wi-fi não funciona,"E um absurdo o atendimento da vivo, não escolham essa operadora, estou a dias tentando  contato pois minha internet não funciona e"
Sem internet fixo 13 dias,"Desde do dia 25/10 estou sem internet, ja fiz varias ligações. Foram agendados técnicos no total de 4 e nenhum compareceu, porem 2"
Fibra,Estou a um dia inteiro sem acesso ao serviço contratado de internet via fibra liguei para os canal de atendimento solicitando meu 
Serviços péssimos,"Estou tentando cancelamento dos serviços da vivo porque não atende as minhas necessidades e só me faz passar raiva, vários protoco"
Falta de respeito e descaso com o cliente,"Desde ontem 02/11/2023 que estou sem internet na minha residência,  fiz contato com a central na mesma data onde foram feitas tent"
Multa abusiva,Eu tinha internet da vivo e pedi a mudança de endereço e eles disseram que no endereço que eu moro não teria como fazer a instalaç
Sem Internet,"Prezados, estou sem Internet desde quarta feira de manhã e abri um chamado para visita de um técnico, Davidson Amorim  Ferreira Li"
Não fornecimento de serviço de internet,Sou cliente Vivo Fibra e pago mensalmente pelo serviço de fornecimento de internet pela referida empresa em minha residência. Ocor
Mudança de endereço,Recentemente mudei de endereço e solicitei a transferência para vivo. Em um primeiro momento fui informado que não havia cob
